project_name,notice_type,region,notice_date,bid_description,sector_description
Second Kenya Informal Settlements Improvement Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"CONSTRUCTION OF ROADS WITH SIDE DRAINS AND FOOTPATHS TO BITUMEN STANDARDS, ABLUTION BLOCKS, SECURITY LIGHTING AND WATER SUPPLY DISTRIBUTION(WATER KIOSKS) IN SELECTED INFORMAL SETTLEMENTS OF MOSORIOT IN NANDI COUNTY","Social Protection,Other Water Supply, Sanitation and Waste Management,Sub-National Government,Public Administration - Social Protection"
COVID-19 Emergency Response and Pandemic Preparedness Project,Contract Award,South Asia,13-Jun-2024,"Installation of Medical Gas Pipeline System at M. Abdur Rahim Medical College Hospital, Dinajpur","Health,Health Facilities and Construction,Public Administration - Health"
Resilient and Sustainable Water in Agriculture,Contract Award,Middle East And North Africa,13-Jun-2024,Formation portant sur le thème : Télédétection spatiale appliquée aux ressources en eau,"Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Improvement of Solid Waste Management to Support Regional and Metropolitan Cities,Contract Award,East Asia And Pacific,13-Jun-2024,Integrated Construction Management Design and Construction of TPST Depok City,"Waste Management,Public Administration - Water, Sanitation and Waste Management"
Climate Resilience Multi-Phase Programmatic Approach,Contract Award,South Asia,13-Jun-2024,"Improvements to DC 8B,Weerawila Scheme","Other Water Supply, Sanitation and Waste Management,Other Public Administration,ICT Infrastructure"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement's of office Equipment( two lap top Computer) by Reginal Water Bureau (RWB),"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Small Town Water Supply and Urban Septage Management Project,Contract Award,Western And Central Africa,13-Jun-2024,Recrutement d’un consultant individuel chargé des aspects comptables et organisationnels pour la restructuration de la SONEB.,"Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Azerbaijan Scaling-Up Renewable Energy Project,General Procurement Notice,Europe And Central Asia,13-Jun-2024,,
Mozambique Disaster Risk Management and Resilience Program,Contract Award,Eastern And Southern Africa,13-Jun-2024,"Preparation of the occupational health, safety manual","Other Public Administration,Other Education"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Industrial Construction Materials,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Maldives: Enhancing Employability and Resilience of Youth Project,Contract Award,South Asia,13-Jun-2024,Procurement of Furniture for Authentic Maldives Outlet in AA. Thoddoo,"Workforce Development and Vocational Education,Adult, Basic and Continuing Education,ICT Infrastructure,Public Administration - Education,Tourism"
"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa",Contract Award,Eastern And Southern Africa,13-Jun-2024,"Focal Point for Ministry of Livestock, Forestry and Range","Other Non-bank Financial Institutions,Livestock,Agricultural markets, commercialization and agri-business"
Strengthening Coastal Resilience and the Economy,Request for Expression of Interest,South Asia,13-Jun-2024,TAMC  Selection of consultancy services for Technical and Management Consultants for the K-SHORE project.,"Public Administration - Agriculture, Fishing & Forestry"
Development Response to Displacement Impacts Project in the Horn of Africa Phase II,Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Seeds and fertilizer for  demonstration for FTC and nursery site  to be procured by Homosha Woreda Finance office,"Other Agriculture, Fishing and Forestry,Social Protection,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Social Protection"
Mozambique Urban Development and Decentralization Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,SOCIAL SAFEGUARDS OFFICER - GAZA,"Sub-National Government,Central Government (Central Agencies)"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Drilling Works of 6 Deep Water Wells in Buno Bedele and Ilu Ababa Bora zones by Oromia Water and Energy Bureau,"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Earthquake Recovery and Public Health Preparedness Project,Contract Award,Europe And Central Asia,13-Jun-2024,Furniture and Equipment for Practicums and Laboratories for the Secondary School with a Sports Hall in Petrinja,"Housing Construction,Health Facilities and Construction,Health,Social Protection,Public Administration - Health"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Drilling Works of 6 Deep Water Wells in Buno Bedele and Ilu Ababa Bora zones by Oromia Water and Energy Bureau,"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Small Town Water Supply and Urban Septage Management Project,Contract Award,Western And Central Africa,13-Jun-2024,Recrutement d’un assistant technique individuel pour l’accompagnement de la SONEB et de l’ANAEPMR sur les analyses financières et tarifaires et sur les outils de suivi des reformes des sous-secteurs de l’hydraulique rurale et urbaine.,"Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Bangladesh Road Safety Project,Request for Expression of Interest,South Asia,13-Jun-2024,"ITMIDS systems design, rollout and support services","Rural and Inter-Urban Roads,Other Transportation,Public Administration - Transportation"
Climate Resilience Multi-Phase Programmatic Approach,Contract Award,South Asia,13-Jun-2024,Improvements to MKYE canal bund road from stn 5+000 to Stn 15+000 in Kantale,"Other Water Supply, Sanitation and Waste Management,Other Public Administration,ICT Infrastructure"
Nigeria For Women Project,Contract Award,Western And Central Africa,13-Jun-2024,LAND CLEARING FOR CASSAVA PRODUCTION COLLECTIVES IN OGUN STATE,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Higher Education Project,Contract Award,Europe And Central Asia,13-Jun-2024,Elaboration of curricular support for the course Civilization and European integration,"Tertiary Education,ICT Services,Public Administration - Education"
Decentralization and Productive Intermediate Cities Support Project,Contract Award,Western And Central Africa,13-Jun-2024,Travaux d’aménagement complémentaires sur la place CHEAB dans la commune de Kiffa,Sub-National Government
DRC Transport and Connectivity Support Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,MOP - Prestation de services au poste de Chef de Section Administration et Finances de la CI par Madame Zady MUKE ZAWADI,"Public Administration - Transportation,Rural and Inter-Urban Roads,Aviation,ICT Infrastructure,Urban Transport"
Lesotho Renewable Energy & Energy Access Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"Design, supply and install 5kw Solar PV system at Senkoase High school and Senkoase Primary School at Mokhotlong District","Energy Transmission and Distribution,Renewable Energy Hydro,Renewable Energy Solar"
"Power Sector Reform, Investment and Modernization in Ethiopia (PRIME-1)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Direct contracting of Consultancy Services for Home Office Technical Assistance for Tariff Study Filing,"Public Administration - Energy and Extractives,Energy Transmission and Distribution,Renewable Energy Solar"
"BD Rural Water, Sanitation and Hygiene for Human Capital Development  Project",Contract Award,South Asia,13-Jun-2024,Installation of Large piped water supply scheme at Sherpur district.,"Public Administration - Water, Sanitation and Waste Management,Sanitation,Water Supply"
Strengthening Foundations for Learning Project,Contract Award,Middle East And North Africa,13-Jun-2024,"A O Kairouan 07/2020 Travaux 3 Lots :
1-E.P.El Friwett
2-E.P.Cite Essanaouber
3-E.P.Gatifa","Primary Education,Public Administration - Education,Early Childhood Education"
Mozambique Northern Urban Development Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"Discharge Hose for Suction of Rainwater in a Ditch, 1200 meters away","Urban Transport,Other Public Administration,Sub-National Government,Public Administration - Transportation,Housing Construction"
SENEGAL - Project for the Improvement of Education System Performance - PAPSE,Contract Award,Western And Central Africa,13-Jun-2024,Reproduction des questionnaires de collecte des données de l'année scolaire 2023-2024 pour la la DPRE,"Primary Education,Tertiary Education,Secondary Education,Other Education,Public Administration - Education"
Livestock Productivity and Resilience Support Project,Contract Award,Western And Central Africa,13-Jun-2024,"Purchase of Communication Materials (Production of posters, stickers, banners, branded T shirts and face caps, roll-up banners, flyers, Public address system, Camcorder, GPSs) Cum ICT","Public Administration - Agriculture, Fishing & Forestry,Social Protection,Agricultural markets, commercialization and agri-business,Livestock"
